"source_term","chosen_arabic","status","adverse_or_rejected","aliases_or_notes","domain_or_context","review_status","review_date","reviewer","evidence_or_rationale"
"Syntax and Semantics","التركيب والدلالة","chosen_logic_chapter_title","النحو والدلالة بوصفه الرأس الوحيد؛ الصياغة والمعنى؛ حصر التركيب في الإعراب اللغوي؛ ترجمة معرفي pl وsyn","التركيب هنا بنية الصيغ وقواعد تكوينها، والدلالة تفسيرها بواسطة التقييمات ومفاهيم الصدق؛ والنحو مرادف إقليمي أو لساني يحتاج ملف alias مستقلًا","chapter title in OLP-0056","reader title localized; exact pl/syn identifiers, chapter command and dependency paths preserved; human review none","2026-08-14","Codex","اختير التركيب لاتساقه مع متواليات التكوين المقبلة، من غير تغيير أي معرف أو اسم ملف لاتيني"
"very quick summary of definitions only; should be expanded","ملخص سريع جدًا للتعريفات وحدها؛ ينبغي توسيعه","source_incompleteness_and_future_work_preserved","حذف جدًا أو وحدها؛ الادعاء بوجود براهين وأمثلة وافرة الآن؛ تحويل should إلى وصف لا نقص فيه؛ تسمية الفصل مكتملًا","يصرح المحرر بأن المحتوى الحالي تعريفي وموجز جدًا، وأن مدخل البراهين بالاستقراء على الصيغ والأمثلة الكثيرة ما زال مطلوبًا","editorial environment in OLP-0056","definitions-only scope, very-quick degree, gentle-introduction intent, induction-on-formulas method and missing-example expansion all preserved; human review none","2026-08-14","Codex","لم تقدم العربية العمل المستقبلي بوصفه حاضرًا ولم توسع نطاق الفصل من داخل الترجمة؛ مدخل ميسر ينقل gentle intro من غير لهجة عامية"
"six-unit syntax-and-semantics import order","المقدمة؛ الصيغ؛ التمهيدات؛ متواليات التكوين؛ التقييمات والإرضاء؛ المفاهيم الدلالية","formal_chapter_dependency_order_guard","ترجمة أسماء ملفات الواردات؛ تقديم الدلالة على الصيغ؛ دمج valuations-sat وsemantic-notions؛ حذف التمهيدات؛ نقل خطاف الختام","الترتيب تربوي واعتمادي: introduction ثم formulas ثم preliminaries ثم formation-sequences ثم valuations-sat ثم semantic-notions، وبعدها فقط OLEndChapterHook","chapter driver in OLP-0056","all six olimport commands and arguments byte-exact/in order; comments, pl/syn IDs, document/chapter environment and end hook preserved; build deferred for six unresolved Arabic imports; human review none","2026-08-14","Codex","تظل الأسماء الإنجليزية معرفات مسار لا متنًا قارئًا؛ لم تُنشأ أهداف ناقصة أو واردات بديلة لإجبار بناء غير مغلق"
"denumerable; falsity; truth; conditional; biconditional","لا نهائية قابلة للتعداد؛ الكذب؛ الصدق؛ شرط؛ شرط ثنائي","arabic_token_mappings_added_zero_fallback_olp0058","قابلة للتعداد من دون قيد اللانهاية؛ تسوية الكذب بالمحال؛ استعمال الاستلزام للرابط وللعلاقة الدلالية معًا؛ استعمال التكافؤ بوصفه الرأس الوحيد للشرط الثنائي","يفصل القيد الأول denumerable عن enumerable التي قد تشمل المنتهي، ويفصل شرط وشرط ثنائي الرابطين التركيبيين عن الاستلزام الدلالي وعن اسم التكافؤ المادي البديل؛ الأسماء المستعارة للبحث: معدودة لا نهائية، الشرطية، التكافؤ الشرطي","formula vocabulary and connective lists in OLP-0058","five local token mappings plus empty Arabic a/A only for the actually used denumerable article carrier; 38 linewise and 39 multiline-aware carriers passed zero-fallback static replay; independent/native/human review none","2026-08-14","Codex","أضيفت أقل رقعة إعداد تمنع رجوع الحوامل النشطة إلى الإنجليزية، مع إبقاء أسماء الماكرو والرموز الصورية كما هي"
"alternate symbols for negation, conjunction, conditional, biconditional, falsity and truth","النفي: sim/neg/!؛ العطف: wedge/cdot/&؛ الشرط أو الاستلزام: الأسهم الثلاثة؛ الشرط الثنائي أو الاستلزام المتبادل أو التكافؤ المادي: الرموز الثلاثة؛ أسماء الكذب والصدق البديلة","chosen_complete_alternate_notation_map_olp0058","حذف رمز بديل؛ عكس السهم بسبب RTL؛ دمج النفي بالعطف؛ ترجمة أسماء الماكرو؛ جعل القاع والقمة قيمتين ثالثة ورابعة؛ إخفاء الأسماء الاصطلاحية البديلة","العطف رأس منضبط يتجنب التباس الاقتران الإقليمي باسم الدالة، مع حفظ الاقتران والوصل اسمين مستعارين للبحث؛ والفصل رأس disjunction، بينما تظل جميع الرموز داخل مقاطعها الصورية LTR","alternate-symbol intro in OLP-0058","every alternate symbol span and order passed internal formal/semantic replay; raw reader labels localized; independent/native/human review none","2026-08-14","Codex","لم تُعكس الأسهم أو الأقواس ولم تُحذف الفروق بين falsity/falsum/absurdity/bottom وبين truth/verum/top"
"primitive symbol; defined symbol; informal abbreviation; atomic formula; inductive definition; stage","رمز أولي؛ رمز معرّف؛ اختصار غير رسمي؛ صيغة ذرية؛ تعريف استقرائي؛ مرحلة","chosen_syntax_construction_headwords_olp0058","تسمية الرمز المعرّف أوليًا؛ إدخال الاختصار في اللغة رسميًا؛ تسوية الذري بالبسيط في كل سياق؛ تحويل المراحل إلى برهان استقراء؛ الادعاء بأن قائمة التكوين تولد أشياء أخرى","يفصل النص سلطة اللغة الرسمية عن اقتصاد الاختصار، ثم يعرّف Frm[L0] بوصفها أصغر مجموعة مغلقة تحت بنود التكوين ويشرح بناءها المرحلي مع بند لا شيء آخر","definition and two explain environments in OLP-0058","primitive/defined status, proof-length motivation, least inductive force, initial/later stages and limit clause passed internal semantic replay; independent/native/human review none","2026-08-14","Codex","عُرّبت كل إحالة نثرية خام إلى formula ولم تُضف حالة تكوين أو تُحذف؛ بقيت المعادلات الشرطية وحدها تحدد الاختصارات"
"syntactic identity; concatenation; substring","الهوية التركيبية؛ وصل السلاسل؛ سلسلة جزئية","chosen_metasyntactic_string_headwords_olp0058","المساواة الدلالية؛ التكافؤ؛ جمع عددي؛ احتواء مجموعة؛ عكس ترتيب الوصل في السطح RTL","ident يقارن طول سلسلتين والرمز في كل موضع، ولا يقرر تساوي قيمة أو تكافؤًا منطقيًا؛ والوصل يحفظ ترتيب القوس الفاتح ثم B ثم lor ثم C ثم القوس الغالق","final definition and concatenation paragraph of OLP-0058","all ten final math spans, opening/closing-parenthesis order, second-symbol offset and following-lor claim passed internal semantic replay; independent/native/human review none","2026-08-14","Codex","أبقت العربية ident والرموز معرفات صورية ولم تعكس ترتيب السلسلة بسبب اتجاه الفقرة"
"$\lnot !A \lor !B)$","$(\lnot !A \lor !B)$","source_unmatched_closing_parenthesis_corrected_olp0058","حذف القوس الغالق؛ إضافة قوس إلى الفرع البديل؛ تغيير lor أو lif؛ إبقاء الصيغة غير المتوازنة؛ إصلاح أي معادلة أخرى","في فرع prvOr من تعريف defIf بالسطر 159 تحتوي الكتلة المثبتة قوسًا غالقًا بلا فاتح؛ أصغر فرق هو إدراج ( مباشرة بعد علامة الدولار، فتطابق الصيغة تعريف الشرط المادي بالنفي والفصل","formulas.tex line 159; defIf/prvOr branch","high confidence; canonical source-oracle exception independently replayed against pinned LF blob and again by Arabic writer; exactly math span 77 differs and only by inserted opening parenthesis; upstream one-character fix pending; native/human review none","2026-08-14","Codex","الأصل الحرفي هو $\lnot !A \lor !B)$؛ لم تغير العربية أي رمز أو ترتيب سوى الإضافة الوحيدة المعلنة ("
"prvTrue-only opening renders variables the propositional constant true","إضافة و في الفرع الخالي من iftag الداخلي مع حفظ البنية","source_missing_gated_and_transparently_normalized_olp0058","محاكاة الجملة الإنجليزية الناقصة؛ حذف الثابت الصادق؛ تغيير المحددات؛ تبسيط iftag بطريقة تغير طوبولوجيا الضبط؛ إضافة الواو خارج البوابة فتظهر عند غياب الثابت","عند تفعيل prvTrue وتعطيل prvFalse يختار iftag الداخلي في السطرين 16--17 الفرع الخالي، فيلتصق variables مباشرة بـthe propositional constant؛ أصغر إصلاح منبعي يضيف and إلى ذلك الفرع","opening gated primitive inventory in OLP-0058 lines 15--17","high confidence; all four prvFalse/prvTrue combinations internally replayed; target changes only the active Arabic text body to و and preserves all selector arguments and nesting; upstream copyedit pending; independent/native/human review none","2026-08-14","Codex","جعلت العربية فرعي iftag الداخلي الثاني و، بحيث تصح حالات لا ثابت وثابت الكذب وحده وثابت الصدق وحده والثابتين من غير تغيير أي بوابة"
"defEx/defAll occur in block selectors without displayed entries; defined-operator equations require a compatible primitive basis","حفظ طوبولوجيا المحددات والمعادلات مع تسجيل خطر تركيبة الإعداد","source_configuration_topology_risk_preserved_olp0058","حذف defEx وdefAll صامتًا؛ اختراع بندي كم وجودي وكلي في منطق القضايا؛ إضافة حراس دورية غير منبعية؛ ادعاء صلاحية كل تركيبة إعداد؛ إخفاء كتلة خالية محتملة","تحتوي قائمتي tagblock وقائمة tagenumerate على defEx/defAll ولا توجد لهما tagitem في هذه الوحدة، فيمكن أن تنتج تركيبة محصورة فيهما مقدمة أو كتلة تعريف مضللة خالية؛ كما تفترض اختصارات defNot--defIff أساسًا أوليًا متوافقًا وقد تصبح دورية في تركيبات غير مدققة","outer defined-symbol list and second definition block in OLP-0058","selector vectors, 27 iftag calls, 17 tagitems and every conditional equation preserved exactly except declared parenthesis correction; risk replay pending against admitted configuration matrix; no silent source repair; independent/native/human review none","2026-08-14","Codex","الإصلاح المنبعي الأصغر يحتاج قرارًا بعد تدقيق مصفوفة الإعداد: إما نزع defEx/defAll من المحددات القضوية أو إضافة البنود المقصودة، مع رفض التركيبات الدورية صراحة"
"pinned OLP-0059 source authority","تجميد وحدة التمهيدات على منبع Open Logic المثبت","source_authority_bound_olp0059","الاعتماد على HEAD متحرك؛ نسخ هدف لغة أخرى؛ إسقاط تجزئة النهايات؛ عد CRLF فرقًا دلاليًا؛ تغيير الصيغ قبل الترجمة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; tree f67757bb9305b173634082ab4cefd5601a707a34; blob 6fcfac52c0e65d1c14ddfe10b6e0f0e5459f7830; path content/propositional-logic/syntax-and-semantics/preliminaries.tex; cache CRLF SHA-256 78673F8419AA1F936F1ECC5629C0FA92C74FD4EE3102BADF5F389E3D775F48D6; LF SHA-256 32B55F3FDC69170D1C4856C5ABD86E8845D1D4993B8E649A0501475AD0C5A9DC","OLP-0059 exact source contract","143 alphabetic control sequences, 15 environment instances, 77 math spans, 20 multiline-aware active carriers, 3 labels, 3 references, 12 tagitems and 3 comments independently counted before translation; no sibling-language target consulted; human review none","2026-08-14","Codex","هدف العربية LF مع سطر نهائي؛ اختلاف النهايات ميكانيكي فقط، وكل سطح صوري يقارن بالكتلة المثبتة بعد تطبيع CRLF إلى LF"
"operator; property; principle of induction; parsing; uniform substitution","مؤثر منطقي؛ خاصية؛ مبدأ الاستقراء؛ تحليل؛ الإحلال المنتظم","chosen_preliminary_syntax_headwords_olp0059","عملية بوصفها الرأس الوحيد للمؤثر؛ عامل منطقي؛ صفة؛ مبدأ الحث؛ قراءة حرفية بلا بيان تركيبي؛ التعويض بوصفه رأسًا موازيًا في المتن","يحافظ مؤثر منطقي على الرأس العام المثبت الذي يشمل الروابط والمكممات، وتدل الخاصية على المحمول P، والتحليل على البنية الوحيدة للصيغة، والإحلال على استبدال كل ظهور محدد على نحو موحد","theorem, unique-readability proposition and substitution definition in OLP-0059","one operator token mapping added with no article fallback because no article carrier occurs; established Arabic logical-operator headword replayed; all active carriers retained; internal terminology replay passed; independent/native/human review none","2026-08-14","Codex","أضيف أقل فرق إعداد لمنع رجوع حامل operator الجمعي إلى الإنجليزية؛ وبقيت formula وpropositional variable على الخرائط المقبولة سابقًا"
"induction on formulas and least-class proof","الاستقراء على الصيغ وبرهان أصغر صنف","chosen_structural_induction_formulation_olp0059","الاستقراء العددي؛ قلب احتوائي S وFrm؛ جعل S مساوية Frm قبل تطبيق الأصغرية؛ حذف شرط الانغلاق؛ استبدال الصنف بمجموعة من غير تمييز","تجمع S الصيغ ذات الخاصية P؛ لذلك S محتواة في Frm، ثم تحقق الذرات والانغلاق يجعل أصغرية Frm تعطي الاحتواء العكسي، فتنتج المساواة والخاصية العامة","thm:induction and its proof in OLP-0059","P, S, Frm[L_0], both subset directions, equality, five connective clauses and reference to defn:formulas retained; internal semantic replay passed; independent/native/human review none","2026-08-14","Codex","لم تحوّل العربية البرهان إلى استقراء على طول الصيغة ولم تستعمل النتيجة قبل إثبات الاحتواءين"
"Unique Readability; proper initial segment; balanced formula","وحدانية القراءة؛ مقطع ابتدائي حقيقي؛ صيغة متوازنة","chosen_metasyntactic_headwords_olp0059","قابلية القراءة اليومية؛ لاحقة أولية؛ قطعة أولية بوصفها الرأس الوحيد؛ متوازنة دلاليًا؛ عكس اليسار واليمين بسبب RTL؛ تسوية التحليل بالتكافؤ","المقصود وحدانية التحليل التركيبي من الرموز لا سهولة قراءة النثر، والمقطع الابتدائي الحقيقي أقصر من السلسلة الأصلية، والتوازن عددي بين الأقواس اليسرى واليمنى؛ ويحافظ مقطع على الرأس المثبت في وحدات الترتيب والقطوع","two propositions, two problems and unique-readability proposition in OLP-0059","all eight parsing alternatives, connective tags, variables, parenthesis surfaces and two local references retained in source order; established Arabic initial-segment headword replayed; internal semantic replay passed; independent/native/human review none","2026-08-14","Codex","لا يعكس اتجاه الفقرة RTL ترتيب السلاسل أو الأقواس؛ ويظل اليسار واليمين وصفين منبعيين صريحين"
"By induction on $!A$. For instance, suppose that $!A$ has two distinct readings as $(!B \lif !C)$ and $(!B' \lif !C')$.","حفظ البرهان الموجز الذي يعرض مثال الشرط ذي الرابط نفسه وحده","source_proof_sketch_incompleteness_preserved_olp0059","استكمال حالات الذرات والروابط صامتًا؛ إضافة برهان تنافي الصور؛ حذف لفظ فمثلًا؛ تقديم المبرهنة على أنها بلا برهان؛ تغيير lif إلى رابط آخر","بعد عبارة بالاستقراء على A ينتقل المصدر إلى for instance ويعالج فقط قراءتين كلتاهما من صورة B lif C؛ ولا يبين صراحة تنافي الصور الثماني ولا حالات الروابط الأخرى، وإن كان يمكن استكمالها بالطريقة المقصودة","pinned preliminaries.tex lines 81--88; OLP-0059","high confidence; exact for-instance force, two lif readings, proper-initial-segment appeal and inductive-hypothesis contradiction independently replayed; smallest upstream diff is to add the omitted base, cross-form and remaining connective cases or label the paragraph a proof sketch; native/human review none","2026-08-14","Codex","لم توسع العربية البرهان من عندها؛ استعملت فمثلًا لتحفظ أن الفقرة حالة نموذجية لا استيفاءً ظاهرًا لكل البدائل"
"% Chapter: propositional-logic","حفظ ترويسة الفصل propositional-logic حرفيًا بوصفها تعليقًا منبعيًا","source_metadata_path_mismatch_preserved_olp0059","تغيير التعليق صامتًا إلى syntax-and-semantics؛ ترجمة معرفي المسار؛ حذف الترويسة؛ اعتبار التعليق سلطة أعلى من المسار والاستيراد","يقع الملف في content/propositional-logic/syntax-and-semantics/preliminaries.tex، وتستعمل الملفات المجاورة ترويسة Chapter: syntax-and-semantics؛ لذلك يبدو أن قيمة التعليق منسوخة من مستوى الجزء","pinned preliminaries.tex line 2 at commit 9620cc73; OLP-0059","high confidence; exact comment, path, pl/syn/pre ID and chapter import context independently replayed; smallest upstream diff is one comment-line replacement to % Chapter: syntax-and-semantics; target comment remains byte-identical after LF normalization; native/human review none","2026-08-14","Codex","بقي العيب خارج سطح القارئ ولم تغيّر العربية أي معرف رسمي؛ سُجل كي لا تصححه أداة تنظيف آلي بلا أثر"
"$\Subst{!A}{!B}{p}$","حفظ الوسيط الخام p في مسألة التعريف الاستقرائي الأخيرة","source_formal_surface_inconsistency_preserved_olp0059","استبداله صامتًا بـObj p_i؛ تغيير تعريف Subst؛ حذف المسألة؛ الادعاء بأن p متغير ميتا أو موضوعي من دون سند","يستعمل التعريف السابق Obj p_i في نوع المتغير وفي جميع نداءات Subst، ثم تستعمل المسألة الأخيرة p الخام؛ قد يكون ذلك اختصارًا مقصودًا، لكنه غير مصرح به ويخالف السطح المحلي","pinned preliminaries.tex lines 114--117; OLP-0059","medium confidence; exact raw p argument independently replayed and preserved, distinguished from all Obj p_i occurrences; smallest upstream clarification is either $\Obj p_i$ or one sentence typing p; native/human review none","2026-08-14","Codex","لم توحّد العربية الترميز لمجرد اتساق شكلي، وبقي موضع الاختلاف قابلًا للمقارنة الآلية"
"For each of the five !!{formula}s below determine whether the !!{formula} can be expressed as a substitution \( \Subst{!A}{!B}{\Obj p_i} \) where \( !A \) is (i) \( \Obj p_0 \); (ii) \( ( \lnot \Obj p_0 \land \Obj p_1) \); and (iii) \( ( ( \lnot \Obj p_0 \lif \Obj p_1 ) \land \Obj p_2 ) \). In each case specify the relevant substitution.","خمس صيغ هدف وثلاث صور مسماة لـA مع عبارة في كل حالة","source_exercise_quantifier_grid_ambiguity_preserved_olp0059","اختزال المطلوب إلى خمس إجابات؛ اختيار صورة واحدة لـA؛ التصريح من غير سند بأن المطلوب خمس عشرة إجابة؛ تغيير أي صيغة من القائمتين؛ إضافة قيود على B أو i","يمكن قراءة where A is (i), (ii), and (iii) مع In each case على أنه اختبار كل صيغة هدف تحت كل واحدة من صور A الثلاث، لكن المصدر لا يقول صراحة for each of the three choices؛ لذا حفظت العربية تعداد الصور وعبارة كل حالة من غير إدخال عدد إجابات","pinned preliminaries.tex lines 100--110; OLP-0059","medium confidence; line-joined exact source instruction plus five enumerated formulas, three A surfaces, Subst argument vector and relevance clause independently replayed and retained; smallest upstream clarification is to say for each of the three choices of A if the 5-by-3 grid is intended; native/human review none","2026-08-14","Codex","لم تحل العربية التردد التربوي داخل نص المسألة ولم تجعل and اقترانًا لقيم ثلاث متزامنة لـA"
"same length and which contain the same symbol in each place","لهما الطول نفسه وتحتويان الرمز نفسه في كل موضع","source_grammar_copyedit_normalized_olp0058","حفظ and which بعد same length حرفيًا؛ تحويل الهوية التركيبية إلى تكافؤ دلالي؛ حذف شرط الطول أو شرط الموضع؛ تغيير ترتيب الوصل أو معنى substring","الجملة الإنجليزية تصل are of the same length بعبارة which contain على نحو غير سليم نحويًا، بينما الشرطان المقصودان واضحان ومستقلان: تساوي الطول وتساوي الرمز في كل موضع. العربية صاغتهما بعطف سليم من غير تغيير iff أو ident أو أي سطح صوري.","pinned content/propositional-logic/syntax-and-semantics/formulas.tex lines 167--170; OLP-0058","high confidence; independently replayed against exact pinned source and frozen Arabic target; smallest upstream diff is deletion of the single word which; target wording already correct; no human/native review","2026-08-14","Codex independent paired QA","تسجل هذه الإضافة المنبع الأصلي والفرق الأصغر صراحةً استجابةً للتدقيق المستقل؛ لا تغيير في ملف الهدف"
"pinned OLP-0060 source authority","تجميد وحدة متتاليات التكوين على منبع Open Logic المثبت","source_authority_bound_olp0060","الاعتماد على HEAD متحرك؛ نسخ هدف لغة أخرى؛ إسقاط تجزئة النهايات؛ عد CRLF فرقًا دلاليًا؛ إصلاح الرموز قبل الترجمة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; tree f67757bb9305b173634082ab4cefd5601a707a34; blob 764226b401e2b6afb84a3dea68f7f76301e93337; path content/propositional-logic/syntax-and-semantics/formation-sequences.tex; cache CRLF SHA-256 4057BF6B85C70AD9EE56DC5365B21A1DAA0A99550079BDAFB1AB16F36B943356; LF SHA-256 FFF70555C1EF515D9092E72C91496AA898F74E4DD41E4CADC82F49A30C5850F5","OLP-0060 exact source contract","163 alphabetic control sequences, 12 environment instances, 75 math spans, 7 multiline-aware active carriers, 4 labels, 2 references, 15 tagitems and 6 comment lines independently counted before translation; no sibling-language target consulted; human review none","2026-08-14","Codex","هدف العربية LF مع سطر نهائي؛ اختلاف النهايات ميكانيكي فقط، وكل سطح صوري يقارن بالكتلة المثبتة بعد تطبيع CRLF إلى LF"
"formation sequence; bottom-up construction; strong induction; proper initial subsequence","متتالية تكوين؛ بناء من الأسفل إلى الأعلى؛ استقراء قوي؛ متتالية جزئية ابتدائية حقيقية","chosen_formation_sequence_headwords_olp0060","سلسلة تكوين بوصفها الرأس الوحيد؛ تسلسل اشتقاق؛ بناء تصاعدي يوهم بالترتيب العددي؛ حث تام؛ مقطع نصي بدل متتالية جزئية؛ عكس ترتيب العناصر بسبب RTL","المتتالية هنا قائمة منتهية مرتبة من سلاسل رموز، وكل حد ذري أو مبني من حدود سابقة؛ ويصف البناء من الأسفل إلى الأعلى اتجاه الإنشاء، بينما يحكم الاستقراء القوي على مؤشر الحد الأخير وتحفظ المتتالية الجزئية الابتدائية ترتيب البداية","section, definition, converse paragraph, lemma and final theorem proof in OLP-0060","all tuple orders, indices, construction clauses, induction bounds and initial-prefix surfaces retained; terminology internally replayed against established Arabic segment and sequence usage; independent/native/human review none","2026-08-14","Codex","لم تجعل العربية متتالية التكوين اشتقاقًا دلاليًا أو برهانًا، ولم تعكس المتتاليات المعروضة بصريًا داخل الرياضيات"
"% Part: first-order-logic","حفظ ترويسة الجزء first-order-logic حرفيًا بوصفها تعليقًا منبعيًا","source_metadata_part_mismatch_preserved_olp0060","تغيير التعليق صامتًا إلى propositional-logic؛ ترجمة معرف المسار؛ حذف الترويسة؛ اعتبار التعليق سلطة أعلى من المسار ومعرّف الملف","يقع الملف في content/propositional-logic/syntax-and-semantics/formation-sequences.tex ويحمل المعرف pl/syn/fseq، ولذلك تخالف ترويسة الجزء مساره ووحدته المنطقية","pinned formation-sequences.tex line 1 at commit 9620cc73; OLP-0060","high confidence; exact comment, pinned path, parent import and pl/syn/fseq ID independently replayed; smallest upstream diff is replacement with % Part: propositional-logic; target comment remains byte-identical after LF normalization; native/human review none","2026-08-14","Codex","بقي العيب خارج سطح القارئ، ولم تغيّر العربية أي معرف رسمي أو تسند الملف إلى جزء آخر"
"$!A \equiv (!A_j \land !A_k)$","$!A \equiv (!A_j \land !A_k)$","source_equiv_vs_ident_defect_preserved_olp0060","الإصلاح الصامت إلى ident؛ تفسير equiv بوصفه تكافؤًا دلاليًا مطلوبًا؛ تغيير land أو المؤشرات؛ تعميم التغيير على المواضع الستة عشر الصحيحة من ident","يعرّف النص متتالية التكوين ويقارن السلاسل بالهوية التركيبية ident في جميع الفروع، ثم يستعمل equiv مرة وحيدة في حالة العطف داخل برهان العكس؛ والسياق يحتاج أن تكون A السلسلة نفسها المبنية في الحد الأخير لا مجرد مكافئ منطقي لها","pinned formation-sequences.tex lines 140--142; thm:fseq-frm-equiv proof; OLP-0060","high confidence; exact source has 16 ident commands and one equiv command, independently replayed with neighboring definition and case list; smallest upstream diff is replacing this sole \equiv with \ident; target preserves \equiv pending upstream authority; native/human review none","2026-08-14","Codex","حفظت العربية الرمز المعيب حرفيًا ولم تخف أثره بلفظ يصرح بالهوية التركيبية"
"strong induction on n; formation-sequence length m < n; both have length less than n","الاستقراء القوي على n؛ طول متتالية التكوين m < n؛ طول المتتاليتين أقل من n","source_index_length_off_by_one_preserved_olp0060","تبديل n صامتًا إلى n+1؛ حذف شرط الطول؛ تغيير حدود j وk؛ ادعاء أن عدد حدود A_0 إلى A_n هو n؛ تقوية فرض الاستقراء من دون تسجيل","للمتتالية المفهرسة من A_0 إلى A_n عدد حدود يساوي n+1، لكن البرهان يستقرئ على n ثم يصوغ فرضه وطولي البادئتين بلغة الطول الأقل من n؛ وقد يكون للبادئة المنتهية عند n-1 طول n، فلا تقع تحت الفرض كما صيغ","pinned formation-sequences.tex lines 126--149; thm:fseq-frm-equiv proof; OLP-0060","high confidence; indices and actual cardinalities independently replayed for boundary case j=n-1; smallest coherent upstream diff is replacing length language in the induction hypothesis and prefix sentence with last-index language, while retaining induction on n; Arabic preserves the published wording; native/human review none","2026-08-14","Codex","لم تصلح العربية فجوة الواحد بإعادة تفسير كلمة طول؛ بقيت العبارتان صريحتين كي تظل المشكلة قابلة للتدقيق"
"If A_n is atomic then A_n is in Frm[L_0]","إذا كان A_n ذريًا فإن A_n ينتمي إلى Frm[L_0]","source_atomic_case_goal_bridge_omission_preserved_olp0060","إضافة استنتاج غير منبعي داخل الهدف؛ حذف الحالة الذرية؛ تبديل A_n بـA صامتًا؛ الادعاء بأن الهوية الدلالية تكفي","هدف البرهان المعلن هو A في Frm، وتعريف متتالية التكوين يعطي A ident A_n، لكن الفرع الذري يثبت فقط A_n في Frm ولا يصرح بالانتقال إلى A باستعمال الهوية التركيبية؛ الانتقال فوري لكنه محذوف من النص","pinned formation-sequences.tex lines 126, 130 and 140--142; thm:fseq-frm-equiv proof; OLP-0060","medium-high confidence; goal, defining identity and atomic conclusion independently replayed in one proof scope; smallest upstream diff is appending and since A ident A_n, A is in Frm to the atomic case; Arabic leaves the bridge implicit; native/human review none","2026-08-14","Codex","حفظت العربية النتيجة الخاصة بـA_n ولم تكتب من عندها النتيجة المطلوبة لـA"
"there exist j,k < i; negation branch uses only j","يوجد j,k < i؛ وفرع النفي يستعمل j وحده","source_unused_k_harmless_preserved_olp0060","حذف k صامتًا من الكمية المشتركة؛ اشتراط j وk متميزين؛ استعمال k مصطنعًا في النفي؛ اعتبار التكرار مانعًا لتكوين النفي","يشارك فرع النفي الفروع الثنائية كمية وجودية على j وk مع أن صيغته أحادية؛ وهذا لا يغير الامتداد لأن k يجوز أن يساوي j، ولأن الحد غير الذري اللاحق له مؤشر موجب فيوجد مؤشر سابق صالح","pinned formation-sequences.tex lines 22--32; defn:fseq-frm; OLP-0060","high confidence on redundancy and harmlessness under the stated non-distinct indices; independently replayed at the minimal unary case i=1 with j=k=0; smallest optional upstream clarity diff is to quantify j in the unary clause and j,k separately in binary clauses; no repair required; native/human review none","2026-08-14","Codex","أبقت العربية الكمية المشتركة كما هي ولم تضف شرط تمايز لا وجود له في المنبع"
"lemma lem:fseq-init proof: Exercise.","برهان اللمة lem:fseq-init: تمرين.","source_explicit_exercise_lemma_preserved_olp0060","اختراع برهان؛ حذف بيئة proof؛ تحويل اللمة إلى مسألة؛ الإيحاء بأن البرهان مفقود عرضًا؛ استعمال اللمة قبل تسجيل تفويض برهانها للقارئ","ينص المنبع صراحة على Exercise داخل بيئة البرهان ثم يستعمل اللمة في المبرهنة التالية؛ لذلك فهذا تفويض تربوي ظاهر لا موضع يجوز للمترجم ملؤه من عنده، مع بقاء الاعتماد البرهاني قابلًا للمراجعة","pinned formation-sequences.tex lines 103--112 and reference at line 142; OLP-0060","high confidence; lemma statement, literal proof body and downstream reference independently replayed; no upstream diff proposed unless the edition intends proof completeness, in which case add a proof or relabel as a problem; Arabic exactly renders Exercise as تمرين; native/human review none","2026-08-14","Codex","لم تدخل الترجمة حلًا جديدًا في متن مجمد ولم تسقط اعتماد البرهان اللاحق على اللمة"
